Code zone (FAO),Zone,politc_stab,n_pop,inflation,deflator,chik_export,chik_import,disp_alim
51,Arm?nie,0.0,0.0,431.042199,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
52,Azerba?djan,-67.32000000000001,0.0,0.0,11205.411,5346.0,353980.0,0.0
52,Azerbaïdjan,0.0,85488.163,0.0,0.0,0.0,0.0,91.76
52,Barbade,0.0,0.0,627.058948,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
53,B?nin,8.58,0.0,0.0,9866.9601,990.0,4680.0,0.0
53,Bénin,0.0,92789.031,0.0,0.0,0.0,0.0,63.86
54,Danemark,766.26,4482324.88,0.0,101544.1272,672181074.0,29213082.0,36336.6
55,Dominique,1054.3500000000001,70447.63,0.0,101175.273,0.0,24192.0,841.5
56,Belgique,0.0,0.0,252.971865,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
56,R?publique dominicaine,11.22,0.0,0.0,9486.1224,436800.0,205411.0,0.0
56,République dominicaine,0.0,91472.329,0.0,0.0,0.0,0.0,66.21000000000001
57,B?larus,11.22,0.0,0.0,10060.2801,46152.0,1939182.0,0.0
57,Bélarus,0.0,84896.095,0.0,0.0,0.0,0.0,93.3
58,?quateur,-28.82,0.0,0.0,10675.052,8784.0,173785.0,0.0
58,Équateur,0.0,143961.271,0.0,0.0,0.0,0.0,64.28
59,?gypte,-118.47,0.0,0.0,10297.3912,3465.0,295752.0,0.0
59,Égypte,0.0,814297.841,0.0,0.0,0.0,0.0,93.63
60,El Salvador,-51.480000000000004,5611686.597,0.0,85645.0098,89007240.0,26964000.0,22301.28
61,Guin?e ?quatoriale,-4.62,0.0,0.0,11693.87,0.0,212.0,0.0
61,Guinée équatoriale,0.0,10115.098,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
63,Estonie,591.03,1177352.847,0.0,102096.0045,2320164.0,26647194.0,32613.48
64,Bhoutan,0.0,0.0,1054.502668,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
